,city,city_date,city_id,cloudiness,country,humidity,lat,lng,max_temp,wind_speed
72,Nova Olimpia,11-05-2017,3456137,20,BR,81,-14.8,-57.29,82.14,2.93
73,Cape Town,11-05-2017,3369157,0,ZA,77,-33.93,18.42,60.8,28.86
74,Fortuna,11-05-2017,5563839,90,US,87,40.6,-124.16,51.15,5.82
75,Albany,11-05-2017,5106834,90,US,81,42.65,-73.76,53.26,14.99
76,New Norfolk,11-05-2017,2155415,40,AU,46,-42.78,147.06,53.6,12.75
77,Butaritari,11-05-2017,2110227,88,KI,100,3.07,172.79,82.59,14.12
78,Fuling,11-05-2017,1810979,44,CN,87,29.7,107.39,49.51,2.59
79,Saint-Philippe,11-05-2017,935215,0,RE,49,-21.36,55.77,68.0,8.05
80,Puerto Ayora,11-05-2017,3652764,75,EC,68,-0.74,-90.35,71.6,18.34
81,Longyearbyen,11-05-2017,2729907,75,SJ,74,78.22,15.64,28.4,8.05
82,Qinzhou,11-05-2017,1797551,68,CN,48,21.95,108.62,66.84,7.52
83,Busselton,11-05-2017,2075265,0,AU,93,-33.65,115.33,65.71,22.28
84,Cherskiy,11-05-2017,2126199,88,RU,76,68.75,161.3,33.72,10.09
85,Paamiut,11-05-2017,3421193,80,GL,100,61.99,-49.67,32.59,33.91
86,Ponta Delgada,11-05-2017,3372783,20,PT,72,37.73,-25.67,62.6,4.7
87,Nelson Bay,11-05-2017,2155562,20,AU,69,-32.72,152.15,73.4,12.75
88,Port Macquarie,11-05-2017,2152659,75,AU,93,-31.43,152.92,66.2,2.24
89,Punta Arenas,11-05-2017,3874787,0,CL,58,-53.15,-70.92,55.4,11.41
90,Cidreira,11-05-2017,3466165,0,BR,78,-30.18,-50.21,60.31,9.08
91,Barrow,11-05-2017,5880054,75,US,92,71.29,-156.79,28.4,6.93
92,Port Alfred,11-05-2017,964432,44,ZA,98,-33.59,26.89,63.51,16.58
93,Longyearbyen,11-05-2017,2729907,75,SJ,74,78.22,15.64,28.4,8.05
94,Port Alberni,11-05-2017,6111632,20,CA,48,49.24,-124.8,40.05,5.82
95,Baherden,11-05-2017,162158,20,TM,100,38.44,57.43,47.49,1.92
96,Maniitsoq,11-05-2017,3421982,68,GL,100,65.42,-52.9,20.4,16.46
97,Bambanglipuro,11-05-2017,1650434,12,ID,94,-7.95,110.28,77.82,4.05
98,Tuatapere,11-05-2017,2180815,32,NZ,100,-46.13,167.68,48.97,16.24
99,Wawina,11-05-2017,3600280,48,HN,93,15.42,-84.43,74.4,5.06
100,Mathura,11-05-2017,1263364,0,IN,81,27.5,77.68,61.26,2.71
101,Carnarvon,11-05-2017,2074865,0,AU,88,-24.87,113.63,74.22,11.77
102,Dauphin,11-05-2017,5935341,1,CA,72,51.15,-100.05,15.8,20.8
103,Albany,11-05-2017,5106834,90,US,81,42.65,-73.76,53.26,14.99
104,Saint-Philippe,11-05-2017,935215,0,RE,49,-21.36,55.77,68.0,8.05
105,Qaanaaq,11-05-2017,3831208,8,GL,100,77.48,-69.36,-6.74,8.08
106,Achham,11-05-2017,1283742,0,NP,53,29.05,81.3,58.56,3.15
107,Dikson,11-05-2017,1507390,80,RU,100,73.51,80.55,22.56,17.81
108,Atuona,11-05-2017,4020109,56,PF,100,-9.8,-139.03,80.29,13.0
109,Morondava,11-05-2017,1058381,0,MG,100,-20.28,44.28,72.64,2.93
110,Tsiombe,11-05-2017,1054500,0,MG,88,-25.3,45.48,63.73,8.97
111,Quepos,11-05-2017,3622193,75,CR,94,9.42,-84.17,73.4,6.93
112,Ponta do Sol,11-05-2017,2264557,75,PT,64,32.67,-17.1,68.0,18.34
113,Varnek,11-05-2017,1487762,8,RU,81,69.71,60.05,34.35,21.72
114,Tommot,11-05-2017,2015179,88,RU,89,58.96,126.29,2.71,5.73
115,Hastings,11-05-2017,2647356,0,GB,100,50.86,0.57,39.25,10.29
116,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
117,Port Elizabeth,11-05-2017,964420,0,ZA,82,-33.92,25.57,62.6,11.41
118,Kongwa,11-05-2017,156493,12,TZ,94,-6.2,36.42,58.06,3.6
119,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
120,Los Llanos de Aridane,11-05-2017,2514651,24,ES,77,28.66,-17.92,68.0,12.75
121,Balapur,11-05-2017,1445310,40,IN,93,17.31,78.48,66.2,3.36
122,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
123,Gravelbourg,11-05-2017,5965462,8,CA,100,49.88,-106.55,4.2,7.96
124,El Trompillo,11-05-2017,7020913,75,BO,78,-17.8,-63.17,73.4,6.93
125,Pokrovsk,11-05-2017,2017824,0,RU,86,61.48,129.13,-20.29,8.97
126,Kodiak,11-05-2017,5866583,90,US,86,57.79,-152.41,39.2,12.75
127,Sambava,11-05-2017,1056899,32,MG,100,-14.27,50.17,75.43,17.47
